avg,max
155.9224255273015,201.65493338519659
155.3706165456442,201.64450196979152
154.82725205838716,201.64151331923992
154.29835881313508,201.64075767004246
153.7801738546578,201.64038939603597
153.29026662273282,201.6403122016106
152.839954028983,201.64029792207774
152.44104168024933,201.64029559100808
152.078526403046,201.64029470623385
151.6796140543125,201.6402923751642
151.308331476741,201.64029149038996
150.9094191280073,201.6402891593203
150.546903850804,201.64028827454607
150.14799150207014,201.6402859434764
149.77670892449913,201.64028505870218
149.37779657576547,201.64028272763252
149.01528129856186,201.6402818428583
148.61636894982814,201.64027951178863
148.2450863722571,201.6402786270144
147.84617402352328,201.64027629594474
147.48365874631983,201.6402754111705
147.0847463975862,201.64027308010085
146.71346382001494,201.64027219532662
146.31455147128148,201.64026986425696
145.93298195714127,201.64026767441968
145.53777403967163,201.64026258289545
145.1333323541246,201.64025146198406
144.72297461137651,201.64022864335553
144.26725999257752,201.6401127607979
143.80937636293564,201.6399029245942
143.35067581651094,201.6395459811877
142.89235505929327,201.63897558724824
142.43576895393494,201.63811932452907
141.98275271334936,201.63691180054977
141.53594380667835,201.63531209118617
141.09905796916775,201.6333212207166
140.6770342052404,201.63099365732668
140.27594536157443,201.6284373290424
139.9025955977994,201.62579985418773
139.56380108370558,201.62324352590346
139.1904513199304,201.62060605104878
138.85165680583663,201.6180497227645
138.4879368717192,201.61172274949715
138.14914235762555,201.60916642121288
137.77579259385035,201.6065289463582
137.4369980797568,201.60397261807393
137.07327814563922,201.59764564480656
136.73448363154546,201.5950893165223
136.36113386777035,201.5924518416676
136.02233935367667,201.58989551338334
135.6586194195591,201.58356854011598
135.31982490546557,201.5810122118317
134.9464751416903,201.57837473697703
134.58275520757292,201.57204776370966
134.16152353101273,201.556870143853
133.72597737386417,201.52371917425577
133.28105157690106,201.45569780123031
132.83034295013056,201.32458317303409
132.3762563024516,201.22657279632298
131.9203117722754,201.22621585291648
131.4635220786011,201.22564545897703
131.0067802405524,201.22478919625786
130.55123237535076,201.22358167227856
130.09862902037506,201.22198196291495
129.6516431954393,201.21999109244538
129.21411656506137,201.21766352905547
128.79116113876643,201.2151072007712
128.38902636763578,201.21246972591652
128.01466320104288,201.20991339763225
127.61252842991216,201.20727592277757
127.2381652633193,201.2047195944933
126.83598968980972,201.19839262122593
126.46162652321681,201.19583629294166
126.05949175208619,201.19319881808698
125.68512858549316,201.1906424898027
125.28295301198375,201.18431551653535
124.90858984539088,201.18175918825108
124.50645507426006,201.1791217133964
124.1320919076673,201.17656538511213
123.72991633415774,201.17023841184476
123.35555316756496,201.1676820835605
122.95341839643416,201.1650446087058
122.52145520886188,201.15851679574777
122.0671149511214,201.1433391758911
121.59708806507568,201.11018820629388
121.11683775120544,201.04216683326842
120.6304622268669,200.9110522050722
120.1408126705034,200.67363428477591
119.64976892635973,200.26977279786627
119.15859142318621,199.62440397937434
118.66830238723755,198.65559063624193
118.18007898903497,197.28934483677318
117.69565062300327,195.47936322495968
117.21767802234271,193.22680471437087
116.75005972431123,190.88996735356375
116.29807727404125,188.25645964775828
115.86827682698333,185.36411726758598
115.46801284663691,182.37996208461294
115.03821239957894,179.48761970444065
