avg,max
155.9000585987824,201.68442693183064
155.38787142094185,201.68376007375443
154.9046507356874,201.68361127760508
154.4605832053752,201.68358197790604
154.02615606416282,201.68356856352634
153.60621155854864,201.6835627940735
153.20677484600844,201.68356046300386
152.83465437072888,201.68355957822962
152.43521765818875,201.68355724715997
152.06309718290916,201.68355636238573
151.66366047036885,201.68355403131608
151.29153999508915,201.68355314654184
150.89210328254927,201.6835508154722
150.51998280726937,201.68354993069795
150.1205460947293,201.6835475996283
149.74842561944993,201.68354671485406
149.3489889069096,201.6835443837844
148.92003602683468,201.68353861433158
148.52059931429454,201.68353628326193
148.1484788390148,201.6835353984877
147.7490421264746,201.68353306741804
147.32008924639965,201.6835272979652
146.86882019456868,201.6835138835855
146.40160199293038,201.68348458388647
145.92355500130014,201.68342446480756
145.438480775347,201.68330858224994
144.94904092446814,201.68309874604623
144.45707177679898,201.68274180263973
143.96394278629234,201.68217140870027
143.4709115818821,201.6813151459811
142.97946773775598,201.6801076220018
142.49167215307523,201.6785079126382
142.0104840230031,201.67651704216863
141.54003050163897,201.67418947877871
141.0857339265163,201.67163315049444
140.65419282337257,201.66899567563976
140.2527382865998,201.6664393473555
139.82119718345618,201.6638018725008
139.4197426466833,201.66124554421654
138.99783040280496,201.65491857094918
138.596375866032,201.6523622426649
138.16483476288818,201.64972476781023
137.76338022611554,201.64716843952596
137.3414679822372,201.6408414662586
136.94001344546407,201.63828513797432
136.50847234232037,201.63564766311964
136.10701780554746,201.63309133483537
135.65343604592624,201.62656352187733
135.2519815091534,201.62400719359306
134.83006926527477,201.6176802203257
134.39852816213116,201.61504274547102
133.99707362535838,201.61248641718674
133.595129732596,201.611485344647
133.2302947873169,201.6111284012405
132.85634255311814,201.61015812846486
132.45488801634534,201.6076018001806
132.00130625672372,201.60107398722255
131.53247707571123,201.58589636736588
131.05394453885015,201.55274539776866
130.5698484102762,201.4847240247432
130.05694550147328,201.35764336956942
129.54306337680603,201.22884799022967
129.0106046482078,201.2267939227475
128.4983111470305,201.2253821841891
127.98844240562771,201.22326291360582
127.50814420501987,201.22205538962652
127.06698927209871,201.22144820843857
126.63508358203678,201.22069255924112
126.18630505187262,201.2183649958512
125.75918363155647,201.21580866756693
125.36104020412674,201.21317119271225
124.9992668395568,201.21061486442798
124.60112341212678,201.2079773895733
124.23935004755661,201.20542106128903
123.85872708736434,201.19909408802167
123.4969537227942,201.1965377597374
123.09881029536433,201.19390028488272
122.7370369307943,201.19134395659844
122.35641397060198,201.18501698333108
121.99464060603187,201.1824606550468
121.59649717860204,201.17982318019213
121.23472381403195,201.17726685190786
