hlp_sum,mlp_sum,llp_sum
62469.59747888416,14633.428905619916,4756.247017329245
61865.189588712,14962.816767350803,4741.567330400385
60659.50793477657,15797.305037992437,4827.494357884265
60347.674841580694,15646.356585388265,5012.606949926974
59733.00538138565,15806.68294982857,5194.902942481117
58819.410277517156,16482.69137810022,5175.288321317405
58065.670331350564,17019.67859061159,5155.626943253905
57625.535063509844,17071.23837516631,5334.773443454744
57047.59513283033,17182.602590376533,5611.028638392266
56461.48224343226,17487.603570746705,5682.711564334926
56187.48895377651,17400.554663762137,5848.830407750363
55756.54261721196,17556.385822390857,5914.516602601003
55186.8130711182,17774.41430785979,6075.897142694092
55060.69529484476,17731.932337841805,6035.067905900313
54344.40480573542,18295.311243790922,5993.056135835671
53326.68448116202,19144.4318220729,5952.226899041884
52622.25461342591,19699.021802940053,5911.746265379075
50871.97568825429,21280.700981820242,5870.917028585293
49296.98690681845,22702.778180095876,5828.90525852065
48334.58921138693,23496.576129235935,5788.076021726865
46493.51808045236,25187.807373301595,5747.595388064059
45283.3478441484,26229.377863314094,5706.766151270276
45129.10530422116,26230.708820081127,5664.754381205631
44973.3342579075,26117.900867698943,5723.904396816244
44966.0690131755,25963.891598002323,5684.854916321384
44954.60302823069,25804.99062030175,5647.737722295163
44638.321820254634,25943.93899543611,5612.738670224612
44317.01141489548,26082.675474421147,5579.874781656006
44285.55551987774,25904.051197620007,5550.704778605422
44092.88135573502,25883.366391771513,5523.674843034697
44035.848412939544,25724.661748361195,5498.5946423675605
43219.6708060233,26323.480685077262,5475.334915028337
43141.43914773416,25984.758482174653,5652.58107090709
42747.69287813566,26162.698526900083,5630.553769472614
42490.631900663815,26205.814544458142,5510.481842944807
42076.777167708424,26409.4858962413,5492.518608044511
41656.199308029216,26526.817999362684,5574.993889126564
41533.17139043243,26457.75943712945,5507.310773478596
41262.33528905592,26449.870087375915,5590.610632232886
40999.248116628616,26253.915756544662,5872.114543780587
40431.71495751841,26650.241461513353,5847.896405546433
40023.858374867865,26608.764751136587,6119.692106862889
39758.7549511118,26417.080135960015,6385.791963721933
39353.71155503775,26682.608331877964,6347.769572167192
39096.41658032005,26781.738609096923,6310.50867729018
38396.52486137921,27342.1151278817,6272.486285735439
37697.84561891387,27887.82442290249,6234.768051106367
37009.90733702558,28436.247504634728,6196.745659551626
35582.74011003932,29705.250034122262,6109.844838727778
35077.76989378194,30070.705050223547,6072.127297817075
32632.968054483703,32362.536942077215,6034.654017562087
31575.89401802333,33280.0957783815,5996.936476651386
31570.478629245525,33127.346469660646,5960.162731716461
31412.246714373392,33132.608437088245,5922.689451461473
31248.77371878111,33111.03777804664,5887.235575034809
31079.84595574358,33086.3794992823,5852.620164542264
30753.110740299984,33213.59546069583,5818.859987886898
30417.568751316212,33345.4925709001,5786.0747109492595
30222.165898793115,33234.9986413455,5853.688799511657
29862.04075987483,33387.22891239011,5822.275081195171
29486.56251122588,33551.90835213115,5793.291617667026
28951.58251690495,33575.17157020725,6065.234678858995
28849.79461610806,33464.44120455672,5989.431052394675
28430.82059061677,33570.136424784076,6065.924867606186
27702.511985402114,33985.54025129053,6144.750956275226
27418.56564869422,33960.52124859584,6174.677311192009
27128.69431814459,34049.72939450172,6153.838871631761
26689.369247929917,34200.133478609445,6182.020213746201
26556.2574214648,33764.26450717034,6554.690207844884
26119.381472234392,34020.37749964114,6474.81440732042
25539.325972396047,34238.64400739221,6590.496670820424
25103.43570030387,34497.925281948446,6556.387303201462
24979.836664668484,34361.11774028474,6620.713634369675
24704.4309586101,34460.552709176474,6586.389678863649
23835.628707009273,35169.02985372755,6550.634539782477
22518.57827810483,36309.701398434845,6516.295058824705
21521.93165069085,37146.02291879907,6480.53991974353
20236.61116493931,38255.37266738397,6446.215964237513
19417.330081969147,38914.32864330435,6410.460825156334
16365.555330134284,41789.72451094207,6326.30365800104
15457.400261082897,42537.554472943746,6240.96429215005
15301.413031087144,42517.57096577282,6207.432337230155
14992.80638297244,42632.70859152874,6175.632020331311
14830.274964628863,42587.99700425669,6145.723662569083
14661.931726133225,42539.042389226706,6117.482962512356
14335.535315064215,42641.39308450099,6090.46006711787
13702.440667593439,43046.33663674558,6014.283252667058
13509.892761753264,43008.51941705081,5988.452884773803
13303.633649196485,42785.11118112672,6160.997380646103
12932.641863130491,42926.58339917707,6083.289850773107
12699.210321888706,42930.80216527132,6007.706803112815
12150.660072850047,43250.819336816305,5933.297259483826
12038.330263256443,43135.99915754218,5908.7825712168515
11316.469226145404,43434.867409705905,6082.734162703006
11186.120968193856,43248.83501451041,6105.3727218466065
11048.277783970572,43080.92465819819,6125.2577225557425
10162.102387211613,43574.9577836906,6292.668687518758
9884.084576916779,43580.474684074194,6355.566838529211
9453.481675414212,43822.70419243196,6319.208925370449
9029.886175938056,43974.816382361096,6281.4601130213005
8457.292709657115,44359.523605439295,6245.450040965506
8191.209964357208,44454.28173776628,6207.712320787588
7328.248468484408,45135.19150999946,6170.1421195379535
6473.719120619684,45818.39624489116,6132.404399360036
5779.480571165566,46225.37081986841,6195.772058578443
4348.443089550902,47485.5272435799,6107.658089411288
3380.4587693151134,48272.04745517222,6069.795744541257
2425.7665482604903,49055.858618323706,6032.005905268761
150.10513188871397,51144.259304400155,5995.957935301734
0.0,51123.4833783857,5958.16809602924
0.0,50942.01926974224,5920.305751159211
0.0,50771.13821183913,5882.515911886711
0.0,50599.354483319796,5846.426010791119
0.0,50428.47342541666,5808.636171518623
0.0,50147.04178482738,5870.741358594404
0.0,49942.22730614808,5783.2773309885315
0.0,49733.209092381825,5646.7469450747985
0.0,49539.85190945416,5607.755090456438
0.0,49367.40818013113,5372.421024216778
0.0,48996.56217306034,5441.7228051293
0.0,48510.48880896942,5655.403737246649
0.0,48028.89062137502,5865.184380869871
0.0,47649.12523574455,5726.683351656556
0.0,47392.103199110854,5693.186723287759
0.0,46838.76204877536,5958.583207917837
0.0,46688.69092987251,5876.463129694374
0.0,46543.15150394455,5794.909239630948
0.0,46205.88020951521,5861.453442793896
0.0,45979.295933886635,5878.798212975516
0.0,45865.76798338223,5748.728837277114
0.0,45537.503905626625,5626.838627496797
0.0,45025.98187190547,5867.79502793493
0.0,44603.215412314734,6154.656599272743
0.0,43802.8551725991,6835.280767829577
0.0,42344.66338326897,8205.954831185081
0.0,41001.70107130955,9429.18107198573
0.0,40262.115314942304,10032.86194009998
0.0,39639.202231537536,10536.03895234603
