hlp_sum,mlp_sum,llp_sum
62981.51629824986,20764.43793881987,758.1958243864688
62687.97074376545,20863.00966504442,758.1957675167862
62384.46772095224,20957.291021931087,758.1956344849547
61942.292487323204,21204.492427300233,758.1955776152722
61493.467924766665,21444.095323930276,758.1954445834408
61205.19322572098,21537.39619471598,758.1953877137584
61057.98280060249,21475.340844944327,758.1952546819268
60620.53644589624,21517.847995861983,958.1605733409417
60025.66329214354,21904.62221834173,957.0377056555403
59743.44931519982,21793.64674068712,1155.253275124296
59154.62046133989,22175.951465742062,1152.5114960072563
58426.22037390595,22711.814622156915,1150.0745418967372
57843.51182537655,22690.20233365355,1545.173579971195
57571.690268682825,22772.15925348719,1540.0643317016204
56548.34725904644,23293.16359796873,1833.1370889344867
54945.23002556164,24610.936430378326,1923.507604880086
52477.48494845954,26613.181896202474,2211.890084399342
49597.84829580454,28917.13230020317,2592.60244792407
49432.31294577762,28202.892829835255,3263.1554693606236
49121.9318032273,28355.54817671638,3225.9073799002254
48965.07420141485,28073.92331725614,3487.3184119556413
48958.67367874792,27943.128614228168,3447.396505891857
48946.74274778795,27785.003634494125,3408.186508663817
48777.22879273288,27754.950393925767,3371.7303900879137
48601.58489395102,27720.454228356517,3337.7728580078965
48271.49446701811,27751.176180274677,3404.7051151346664
47935.35590918546,27784.47127684682,3472.019375330803
47742.16215073631,27694.53648280675,3539.5399984697265
47536.431756843645,27714.505297743777,3508.7688424711014
47159.11614612269,27879.722069679847,3481.9026675448404
46769.22054393272,28053.620696123544,3458.8552489231765
46364.750066550565,28140.55974522787,3537.854039280171
46243.13660562455,28042.363383562315,3520.558339402583
45660.51283191276,28404.276817895814,3506.999812152123
44923.25453492076,28922.453614114478,3496.681364531887
44631.89443241343,28999.71018019932,3488.958328246695
44340.68311842176,28887.158260373475,3681.7701523611636
44055.770406497555,28982.2193955614,3675.211713742977
43467.161636703735,29367.87684762929,3667.2116217659122
43186.67798615663,29458.508921440145,3660.6531831477273
42598.08488287181,29843.37911200461,3653.3945646073435
42173.8170791123,29879.418573422587,3845.212891594467
42047.68346821009,29805.064921739384,3834.7487444768535
41475.93640776965,30091.186321277448,3923.9643900247697
40003.2805110894,31265.125746359736,4011.6993303620607
39151.036158946765,31734.856375827105,4197.803037682939
38009.71066706286,32582.658064163712,4280.375431527149
36737.96737875543,33280.247785581945,4658.118983061941
33680.89613978588,36036.444807146625,4732.391721655567
32622.443069168054,36629.741259209186,5001.138324856424
32312.535797036577,36744.897110199156,4969.28826718672
32157.591108141787,36739.01331400482,4933.706736921447
31999.60514509872,36602.27584404393,5001.828691114124
31838.333856271172,36554.34241119207,4972.692943682386
31672.18770570133,36500.141168989765,4946.482240057999
31050.24286369538,36893.65030569366,4923.0313281350545
30723.577229855815,36986.227589846676,4902.086726061548
30537.549387649913,36934.275716656084,4883.416423460173
30338.81010283162,36892.30855823881,4866.864876057535
30269.12405752213,36702.91084629628,4855.1639985249685
29727.881683172556,36972.073577114665,4847.309838401469
29169.704740067267,37258.099939470165,4840.750553109671
28594.63214015361,37463.32214754344,4934.086475627774
28012.556739703334,37590.12828271693,5125.91012104513
27724.998840568936,37642.298255541566,5116.305490247364
27430.87041483876,37607.61745259688,5208.1601277080845
27134.842502115847,37586.12205722436,5300.215842173525
26694.62335966561,37824.300543635574,5292.171740329077
26402.85927551482,37800.93834546438,5381.830429021061
26115.990783076006,37886.705187954365,5372.847321086446
25976.882026221367,37710.95935335305,5462.234318912376
24943.663466829945,38245.486631676795,5750.8408420966
24511.46958312512,38467.78641479344,5735.267349054742
23487.660395766496,39296.25563087956,5720.522562443829
22324.499190106868,40150.910728196024,5803.561077156968
21619.218506901714,40265.48508133133,6184.1826493433755
19428.40286461194,42254.374759942715,6160.641019391755
18307.896596932747,42790.61012694707,6534.827162183119
15410.756895389704,45198.90583566585,6802.698904032631
14505.073726761424,45931.19253790186,6766.010612541604
14502.647451502928,45743.927293199515,6730.234538872351
14500.363232342064,45572.81504596802,6693.546247381323
14496.093368549868,45390.27340237389,6659.385503792962
14488.537546823876,45100.80103373739,6727.808714644177
14175.689004538206,45189.31463814426,6701.318150928595
14006.0841328133,45128.4674062514,6677.69157297272
13676.759558409714,45125.15882840491,6754.480202085787
13639.534485656195,44948.302609015365,6729.740154103202
13444.490878082708,44754.23495140059,6902.060916843218
13384.529404567647,44625.46140859199,6874.295541840223
13308.341493555849,44410.7761265314,6949.410045800877
12759.25953438942,44745.9674281155,6927.060211032069
12489.863299609866,44683.09377286322,7008.505213525464
11910.911232265884,45032.85551999212,6992.04419743052
11628.181100818649,45091.112317488536,6978.867086629449
11041.860216556897,45461.522594651484,6968.641081986899
10461.998745719304,45638.72337351055,7160.621104345022
10042.02572466901,45875.18575540672,7152.847343925395
9616.436725084395,46099.95068410886,7142.990745187497
9499.426907443216,46033.449862595895,7135.216984767872
8780.772370527297,46559.25746295408,7126.788419801686
8370.402228054903,46686.97591874878,7218.155706905738
7659.241702736186,47099.17546709737,7306.43601425539
7255.413641674658,47223.59581758499,7394.559325255605
6253.676632567782,48017.276533338314,7380.920483845193
5118.118594941561,48774.495951295496,7567.9747039404765
4290.848146790883,49198.50289367236,7749.543074950305
2585.2322561809297,50432.75797083904,8029.619488819873
902.7386942572064,51738.477851709344,8205.11766834937
0.0,52181.70865577469,8473.341158967429
0.0,52007.15700974362,8437.21213537817
0.0,51819.68279755467,8402.991212803136
0.0,51665.21694235328,8366.172668430805
0.0,51525.03468390656,8328.339383431507
0.0,51350.48303787541,8292.210359842249
0.0,51163.00882568649,8257.989437267217
0.0,50965.98648709917,8225.551789735175
0.0,50762.575930446714,8194.414934399765
0.0,50555.512456513585,8163.886072405784
0.0,50347.005802922075,8133.216449092901
0.0,50138.72678969458,8101.735590801371
0.0,49731.99389537924,8268.815816135251
0.0,49528.203001329304,8233.606753608616
0.0,49350.46838845291,8195.417132695526
0.0,48976.83295263216,8354.943501738866
0.0,48710.084019190675,8410.511957212591
0.0,48352.95916090501,8561.036919606435
0.0,48202.74193648228,8511.509271808982
0.0,48081.103084747476,8465.667704646568
0.0,47969.359877955714,8421.373380960626
0.0,47853.32411073264,8376.57590111717
0.0,47767.59539391329,8337.437921464227
0.0,47072.47068862368,8890.820958595947
0.0,45608.638430782834,10229.786519964448
0.0,44553.53183149291,11143.151451096453
0.0,43928.3046947152,11643.511891401839
0.0,43402.94394835651,12027.130969602596
0.0,43386.300100901055,11918.90812058579
0.0,43164.06847170716,11899.907035999331
0.0,42850.620592603125,11754.36818066711
0.0,42633.24022714168,11804.574958039448
0.0,42522.072963572835,11718.942207881648
0.0,42301.23079555975,11806.9733191698
0.0,42291.178390244364,11622.413550291558
0.0,41972.70644975629,11810.877444907022
0.0,41664.683943232034,12024.795494750615
0.0,41449.39230329202,12011.563869671283
0.0,41242.58604175864,12076.298506959876
0.0,41129.4733519218,12062.495129820292
0.0,41116.064295489094,11952.109114111394
0.0,41096.734673892424,11784.600001231376
0.0,40764.412314682595,11896.67839749946
0.0,40713.73992792025,11595.020314249337
0.0,40040.41574498656,11844.405754458388
0.0,39642.264798575285,11848.864576568814
0.0,38837.12185358569,12302.682117614047
0.0,38013.96845857198,12808.797895427362
0.0,37068.80856172473,13329.088634951964
0.0,35807.45310563474,14308.634327194319
0.0,35136.7755201715,14641.909207378976
0.0,34252.60818630446,15236.361191425589
0.0,33462.640703438476,15737.564026164779
0.0,32668.304060281993,16197.697426731558
0.0,31675.889830432774,16914.03714668687
0.0,30989.275800770538,17337.36674602542
0.0,30316.36096897419,17765.34154911651
0.0,30058.246455833392,17802.919895254636
0.0,29624.008268076228,18046.709850524523
0.0,29398.86227487937,18094.38048380063
0.0,29285.706471584694,18046.352880818617
0.0,28961.55893852721,18193.025053955367
0.0,28350.365050197637,18643.035536008265
0.0,27732.882769956777,19083.04245632837
0.0,27132.222164805247,19522.51965520323
0.0,26236.542668976923,20240.72379111081
0.0,24567.003501531122,21742.555754511657
0.0,23526.075244419215,22607.25638198887
0.0,22594.529771924077,23356.629309148095
0.0,22259.64496573661,23382.904007985933
0.0,21828.05252175441,23630.039786388632
0.0,21491.075102229242,23535.513047902747
0.0,20942.811123782136,23689.064664857542
0.0,20589.635298056717,23797.923182324423
0.0,20129.381935597685,24013.163638963662
0.0,19462.23105616977,24433.24569195468
0.0,19187.615342645746,24509.52855501723
