hlp_sum,mlp_sum,llp_sum
62817.78601007346,15078.449835987365,4154.60228057097
62065.07460336662,15515.05504537852,4232.982347200029
61169.33764451385,15996.248124395293,4409.957125501133
60724.2553914844,16127.628099783711,4486.813793300318
59993.43056359485,16570.43879831637,4561.3849588424155
59101.402769862914,17152.469192905595,4638.961663420645
58210.30211209596,17739.841311188815,4715.037821813906
57768.720297633394,17885.416581807396,4790.756155747885
57031.10500297832,18239.382484492136,4964.713167058055
56900.738684563825,17905.49742843319,5233.511458899688
56318.279699260995,18213.29609172487,5298.47940025059
56190.408815275834,17984.209018406367,5459.984274922328
55609.140248849515,18395.5039995569,5420.2654795379585
55186.56408847558,18662.532035017466,5380.3605218194225
54763.738752801306,18915.38378541587,5340.64172643506
54345.23524153833,19178.339171765583,5300.7367687165215
53920.66007290124,19431.330623212467,5262.30992426188
52466.18088736364,20730.261683836747,5222.404966543342
51016.38463977493,21992.51975270054,5184.6330240976185
50341.67407410194,22511.682193460158,5144.728066379081
47871.39511549173,24794.422973345318,5106.956123933359
46056.209213713926,26454.060750209857,5067.051166214823
45892.60771293681,26430.124072261904,5029.279223769097
45574.501166820664,26546.21318097541,4994.159933731076
45100.87876632593,26806.397214075252,4962.029205151901
44770.19957302259,26914.95591296432,4932.928041413256
44429.7645950283,27026.860135926552,4906.700520618347
43780.86614782498,27442.603887702946,4883.084875030376
43720.58430235816,27166.897219366267,4961.362279034302
43344.83571635646,27304.90702852725,4941.228829658396
42509.3156950311,27802.1937165479,4972.504812929371
41961.856244039314,28113.676857688417,4854.100407178489
41700.91710180189,28140.16752877081,4837.024020563965
41287.15783433621,28145.02767082968,5014.851059326855
40853.356068909765,28058.780496837302,5241.341109174403
40561.97512330792,28141.104724447872,5214.9484319763
39820.89637823532,28488.660686446932,5384.087843567487
39685.004713797185,28250.909859719784,5548.395117971431
38949.68957824737,28796.982323912205,5513.254417846492
38520.61231529848,28954.869098954212,5575.109688991958
38085.12025633245,29207.22711999562,5537.848821071232
37810.74348355965,29311.06026870108,5499.05722837715
37387.997493054274,29546.887650242406,5461.592465858907
36820.82222894079,29943.519290288576,5422.800873164829
35802.986325771744,30778.22115553294,5385.540005244098
34357.52656022887,32053.1372970085,5346.748412550021
33671.23012774392,32552.51512052937,5259.641983714714
32696.20291263749,33356.99871156849,5221.241826995878
30087.544610971217,35764.97391005734,5186.05069525875
28726.897261136557,36955.07763582471,5147.650538539909
28414.70231201952,37066.58948176431,5112.459406802782
28247.6578164067,37022.16479949943,5079.3567589553795
27924.55300484878,37125.545297688164,5048.559782717109
27593.291230932507,37230.80248832424,5020.154108194595
27251.009586610875,37342.25983091189,4994.132734096263
26598.712606445708,37759.99198477771,4970.420715587973
26532.52353205551,37489.16453185225,5048.470348065497
26149.138980241918,37633.898532227395,5028.130710208969
25602.16157064676,37841.553181063064,5059.827837425189
25039.92999757327,38165.14770801051,4944.243325196882
24913.755415055104,38055.14693279525,4929.904681546021
24177.247804292947,38461.320571220145,5014.5674440177645
23587.389538094525,38730.342361557945,5047.616292226742
23294.52416775708,38716.615562311505,5128.413785111001
22705.679607096234,39015.208111398504,5208.151796410439
22427.691580338065,39024.07326786471,5286.066018978093
21843.080989543912,39421.81775356839,5262.418123794178
21568.97825543078,39430.34691193483,5336.7830518165765
20690.256150724505,39836.67132302796,5607.848351480232
20271.940627084714,40098.08302321671,5573.54352720699
19701.156207219556,40490.60828155261,5541.288688461872
19439.177411591394,40595.683253729636,5506.983864188628
18128.207536612255,41738.129655921875,5474.17494302609
17284.80579872147,42424.6275703616,5439.870118752847
16149.204956352993,43381.96925120086,5357.694241016198
15334.318045647715,44039.952338455,5323.780852718192
12431.775177333755,46751.02147476631,5293.939412852528
11523.622948404342,47502.26988024462,5260.026024554525
11363.774715343388,47470.64438130289,5230.184584688862
11208.617176173759,47468.898097021454,5196.271196390856
11055.71481749976,47460.0545633404,5163.10754816485
11051.412981938473,47307.45257545071,5129.194159866848
10744.210779157978,47423.18104622845,5099.352720001184
10584.271193863351,47381.749874020476,5021.6548048433815
10419.269366348728,47238.481213107676,5095.483727336101
10097.846618819201,47347.16495819392,5070.442920635893
9771.482628128717,47458.11113994206,5046.300722868497
9735.756839796433,47176.9784455021,5122.907332906528
9390.049974489935,47305.20166521366,5100.222019334919
8884.163129860903,47593.50520269187,5078.349239581291
8520.693909087702,47640.8998862008,5056.551365733144
8291.623313185164,47537.0672327956,5137.023324719526
8052.687463675738,47447.9231727601,5166.741798567257
7357.967058929779,47920.57904860645,5145.830516928526
7113.575120546726,47771.73469240754,5320.92367192232
6718.881029196826,47885.30699981972,5394.44232683379
6326.687694317721,48109.888435328656,5318.712353760546
6241.339537007518,47745.44784832902,5593.019536811499
6002.075293493746,47724.67944787522,5659.918548767922
5769.1484124100825,47418.29609264774,6023.747223820226
5534.276867245721,47403.800828396634,6079.980401224532
5153.565340003829,47654.09207743595,6034.919118168181
4922.7621551377715,47736.48512596278,5990.195622496292
4251.111193779486,48277.71580911847,5945.134339439941
3882.27463535272,48498.14223120596,5900.410843768049
2924.909754932815,49325.086833423346,5855.349560711697
1686.1239531381489,50448.85041805945,5811.234835379316
908.6806809839882,51095.87341201105,5766.173552322962
0.0,51856.143956655826,5671.887004160236
0.0,51725.723678453294,5627.130571747917
0.0,51610.70146129467,5583.37225292681
0.0,51480.28118309216,5538.615820514493
0.0,51331.87104675281,5494.379474784689
0.0,51201.45076855038,5449.623042372374
0.0,51070.922248122355,5355.85419230207
0.0,50940.501969919766,5311.584909831841
0.0,50797.22563056001,5266.933319022197
0.0,50522.15783623281,5274.086944128607
0.0,50318.6008089067,5235.023549422633
0.0,49594.73642212163,5647.317893498454
0.0,49270.84116610292,5558.935956215552
0.0,49064.97342545104,5172.6474484958735
0.0,48657.91812835226,5293.118428417745
0.0,48475.01526444878,5111.121136109151
0.0,48314.88256774609,5031.272546531895
0.0,48054.78047032612,5050.773938712062
0.0,47895.327956445144,4920.911366338228
0.0,47536.83562314794,5091.983225133837
0.0,47084.255224590685,5307.754721877802
0.0,46937.42568920584,5223.273540656204
0.0,46497.65831413787,5488.024446935915
0.0,46269.225969781015,5503.1591962994435
0.0,45954.5875665578,5618.791631899647
0.0,45724.90465704495,5587.2456232763925
0.0,45511.81915689515,5459.668262754996
0.0,44386.693112043366,6194.3835820676095
0.0,43881.659952658345,6577.783339403918
0.0,43006.35720627028,7364.413365677412
0.0,41423.98126900399,8825.155900895033
0.0,39965.39842610058,10145.531905845104
0.0,39539.24615617933,10450.050773717763
0.0,39327.22281594462,10573.401393837863
0.0,39205.65063840607,10573.340169327725
0.0,38795.16115526046,10895.156932358766
0.0,38378.639122198365,11190.045563372198
0.0,38255.385584343676,11175.09226327361
0.0,38022.613868891,11255.263794177115
0.0,37481.43231237953,11582.214669577386
0.0,36931.759829244365,11958.398800365962
0.0,36463.721019346,12222.785837781354
0.0,35674.519446865896,12782.452711716083
0.0,34865.975302356645,13340.58341856986
0.0,33743.699270034725,14196.599384597193
0.0,32918.64370543875,14715.39947024244
0.0,32295.943848363146,15047.794195231556
0.0,31974.348136359222,15099.863536960185
0.0,30959.773867716576,15869.362858482125
0.0,30644.994835075522,15940.61392283973
0.0,30324.080244109762,16023.529945660423
0.0,29801.159399077576,16313.044581498145
0.0,29580.52436167651,16308.09926984987
0.0,29365.136353435442,16309.626011000377
0.0,29258.48933396494,16218.488124436128
0.0,28939.07847075356,16229.15973577429
0.0,28535.85648953964,16248.659257962958
0.0,28419.650825836758,16074.746305000104
0.0,28119.18219882732,16253.966054258091
0.0,27510.241223418907,16725.551695695918
0.0,26326.39206895611,17788.151972407246
0.0,24961.6577227273,19015.530984665453
0.0,24108.844066473368,19717.180031371856
0.0,23654.157193506857,20009.432834849657
0.0,23194.815181055208,20297.484016782157
0.0,22528.38712396913,20785.791388190108
0.0,22044.38788997149,21062.879541653096
0.0,21147.091385974738,21728.353401366796
0.0,20237.504556521988,22385.759254091165
0.0,19319.434165706534,22998.538229131496
0.0,18799.27678639838,23277.981484757795
0.0,18083.512394920017,23772.150968821363
0.0,17371.79866555516,24235.883641860502
0.0,17158.526805725516,24253.930602119024
0.0,16439.156392121607,24780.425337112538
0.0,15822.52495588864,25161.358412053145
0.0,15110.187089940699,25597.728176045257
0.0,14504.982876406444,25941.65811849194
0.0,14111.308669288768,25851.68651638946
0.0,13744.330259834502,26127.95991408967
0.0,12866.797327573986,26880.10036072405
0.0,12217.441379179589,27438.75129736439
0.0,10878.050408264728,28652.749782653114
0.0,10765.52967973924,28674.565499424563
0.0,10448.465230317563,28866.237463220114
0.0,10240.077649011695,28983.92003277191
0.0,10026.582386458125,29072.02280969934
0.0,9920.163007742845,29087.73717666055
0.0,9709.04410790744,29173.46359086983
0.0,9593.449557301792,29146.58849569816
0.0,9273.211749799675,29309.735991534282
0.0,8945.82081694586,29418.45030473787
0.0,8513.733542692558,29673.115232585667
0.0,8275.100012722085,29678.11785362131
0.0,7630.856029735254,30135.238022283404
0.0,7382.001103225579,30144.8389572375
0.0,6625.2388084056565,30686.162688873734
0.0,6069.180389889292,31002.838505474323
0.0,5413.972541470469,31420.80786013475
0.0,4753.107375727604,31821.358947187728
0.0,3892.985246318236,32402.910044921155
0.0,3335.3068483807683,32738.323217356454
0.0,2779.3165427598956,32998.639385645234
0.0,2226.1744203944445,33288.29526832982
0.0,1778.9009756510548,33388.75829523543
0.0,1238.7658987345967,33798.36450576242
0.0,612.0256257632863,34310.08239296703
0.0,101.48457648814802,34737.0591230688
0.0,0.0,34723.52131379024
0.0,0.0,34639.95699461689
0.0,0.0,34524.9346088502
0.0,0.0,34441.37028967686
0.0,0.0,34326.34790391014
0.0,0.0,34242.78358473676
0.0,0.0,34127.76119897005
0.0,0.0,34044.196879796735
0.0,0.0,33929.17449402999
0.0,0.0,33845.610174856636
0.0,0.0,33730.587789089936
0.0,0.0,33647.0234699166
0.0,0.0,33482.009199065615
0.0,0.0,33399.76909072759
0.0,0.0,33286.5566865727
0.0,0.0,33204.31657823464
0.0,0.0,33041.185795252
0.0,0.0,32575.656899541427
0.0,0.0,32292.15544339491
0.0,0.0,32145.182376546138
0.0,0.0,31976.41693218138
0.0,0.0,31837.249059104844
0.0,0.0,31576.241412418014
0.0,0.0,31343.8937041725
0.0,0.0,31130.959219767064
0.0,0.0,30882.43494824266
0.0,0.0,30601.34141506268
0.0,0.0,30238.735947283443
0.0,0.0,29949.011275783287
0.0,0.0,29688.396125147476
0.0,0.0,29364.47093821881
0.0,0.0,29083.840920846444
0.0,0.0,28752.64380493921
0.0,0.0,28475.99731446381
0.0,0.0,28204.37354665388
0.0,0.0,27937.485599070547
0.0,0.0,27679.93501732309
0.0,0.0,27385.945306175665
0.0,0.0,27063.358165839498
0.0,0.0,26818.66453737452
0.0,0.0,26650.93109852731
0.0,0.0,26511.74019739316
0.0,0.0,26379.018577994648
0.0,0.0,26254.748727997707
0.0,0.0,26141.126244647687
0.0,0.0,26023.27007306889
0.0,0.0,25936.704941493463
