hlp_sum,mlp_sum,llp_sum
63398.909740846946,13815.051545204278,4819.158925740443
63086.76517210516,13934.566598369622,4803.345784464914
62765.8899056622,13950.330971779942,4886.720233490196
62456.009739934474,14065.418538252601,4870.846021481287
62009.704349022104,14330.736808094525,4855.84011194407
61704.10146342457,14244.761055536348,5037.096723340636
61259.844691935614,14314.230596295549,5215.890923462728
60807.09049478121,14380.445655704145,5392.108034449407
60665.19112851365,14055.416026647523,5663.043999165836
60214.189529623414,14130.621977269682,5828.517620674856
59776.04139259656,14410.672952534964,5790.62175182867
59353.989263253905,14693.85987246321,5751.749938128173
58769.26064831015,15120.491325645444,5713.854069281984
58031.02813028139,15685.81171829969,5676.4441678973435
57009.341393816525,16549.40129300308,5638.548299051162
55408.89468153907,18010.98279586603,5599.676485350659
52923.78992420833,20337.990391435324,5561.780616504475
50757.10064626874,22331.767544000475,5524.37071511984
48789.475829654446,24141.295198853222,5486.474846273648
48632.88132948095,24159.02448961218,5447.60303257315
48471.22148945186,24147.772204266803,5410.193131188512
48455.53524863276,23979.309876440475,5373.372475431232
48283.46760225259,23959.383342523473,5337.024102316829
47804.890288109906,24240.86910629459,5301.022021700065
47464.63678855583,24359.172225242535,5269.190259800532
47261.33964484364,24337.950898899006,5238.162193352721
46890.18493558298,24464.69742096061,5212.392673331966
46507.58333386631,24618.17852519245,5184.5796100181815
45962.12349530537,24732.371464606982,5358.908497823711
45858.27987832345,24525.55182630836,5431.23920037103
45587.32090483999,24584.518232727434,5406.285199554747
44855.360327831695,25004.458348016586,5484.132878668412
44417.99297362733,25233.0319600972,5463.556413692329
43977.081220999,25373.12205463537,5542.524500925362
43536.760166654734,25524.62157395167,5620.32754215926
43253.11536899797,25338.936906405004,5893.158202132387
42965.831772727324,25345.123944737137,5963.236266276745
42534.18683551109,25414.29731914916,6129.209023850658
41804.4289389491,25868.01992624788,6194.225819519862
41530.501436714345,25981.523137300155,6158.151305472043
41246.57139515059,26088.38099537026,6124.022535610384
40526.526442690614,26648.00165664772,6087.948021562566
39214.296000424096,27784.241970883566,6052.91965579912
38215.30638488415,28622.807295241066,6016.845141751306
37071.23821300064,29589.803283630907,5982.716371889644
36100.781953563426,30399.835251885626,5946.641857841828
33051.66404122265,33173.18469947667,6011.391828797482
32292.329492190867,33772.226071954145,5975.186200121464
31980.91250568389,33906.697955622665,5940.930349604632
31664.222087562015,34014.41679271674,5911.143863557883
31341.626787763227,34016.77156460776,5984.170478162668
31011.21933691723,34119.069017793634,5909.468503576627
